id|livello|tipo|citazione|identificatore|data_documento|data_consultazione|temi|usata_in|esito_sintetico|stato|conflitto_dichiarato
F011|1|RCP|Riassunto delle caratteristiche del prodotto. Ciprofloxacina Alter. AIFA, documento reso disponibile il 08/03/2025.|medicinali.aifa.gov.it|2025-03-08|2026-08-13|T2,T1|T2-art1,T2-art2|4.5 Formazione di complessi chelanti: cationi multivalenti e supplementi minerali (calcio, magnesio, alluminio, ferro), chelanti polimerici del fosfato (sevelamer, lantanio carbonato), sucralfato, antiacidi, formulazioni altamente tamponate. Ciprofloxacina 1-2 ORE PRIMA o ALMENO 4 ORE DOPO. Esclusi gli antiacidi H2-antagonisti. Alimenti e latticini: il calcio assunto CON gli alimenti durante i pasti non influenza in modo significativo l'assorbimento; da evitare la somministrazione A DIGIUNO con latticini o bevande arricchite di sali minerali. Contiene anche AVK (aumento effetto anticoagulante, monitoraggio INR): materiale T1, fuori delimitazione di questo articolo. Fonte piu' recente del pacchetto: determina la data di aggiornamento del contenuto (marzo 2025). Letto per immagine dello stampato AIFA.|verificata|na
F012|1|RCP|Riassunto delle caratteristiche del prodotto. Doxiciclina. AIFA, documento reso disponibile il 18/02/2021.|medicinali.aifa.gov.it|2021-02-18|2026-08-13|T2|T2-art1,T2-art2|4.5: l'assorbimento orale delle tetracicline e' ridotto da preparati antiacido con alluminio, calcio e magnesio; alimenti a base di latte o latticini; sali di ferro; preparati con zinco e bismuto per via orale. Distanziare ALMENO 2 ORE, SE POSSIBILE. Nessuna distinzione fra latticini a digiuno e ai pasti, a differenza di F011. Documento del 2021: il piu' datato dei tre, oltre i 5 anni, segnalato nel testo dell'articolo 2. Letto per immagine dello stampato AIFA.|verificata|na
F013|1|normativa|Nota Informativa Importante concordata con AIFA. EUTIROX (levotiroxina) compresse nuova formulazione: necessita di monitorare i pazienti che passano da una formulazione all'altra. 3 febbraio 2021.|aifa.gov.it/documents/20142/1097058/2021.02.03_NII-EUTIROX_IT.pdf|2021-02-03|2026-08-13|T1|-|Raccomanda monitoraggio clinico e di laboratorio nel passaggio tra formulazioni per il ristretto intervallo terapeutico della levotiroxina. Testo integrale letto. Non serve nessun obiettivo formativo di T2: resta disponibile per T1.|verificata|na
F014|2|linea_guida|Assessment report on Hypericum perforatum L., herba. European Medicines Agency, Committee on Herbal Medicinal Products (HMPC). EMA/HMPC/244315/2016.|EMA/HMPC/244315/2016|2018|2026-08-13|T2|-|Non reperita e NON PIU' NECESSARIA dal 13/08/2026: l'ancoraggio indipendente a F006 e' stato ottenuto da F010 (RCP levotiroxina), che elenca l'iperico fra gli induttori enzimatici. Resta utile se in futuro servisse un secondo riscontro sulla soglia di 1 mg/die di iperforina.|da_reperire|no
F015|2|linea_guida|Hyperici herba - St. John's Wort. European Scientific Cooperative on Phytotherapy (ESCOP) monograph.|ESCOP 2018|2018|2026-08-13|T2|-|Non reperita e NON PIU' NECESSARIA dal 13/08/2026: vedi nota di F014. Seconda fonte indipendente citata da F006 per la separazione tra preparazioni a basso (fino a 1 mg/die) e alto contenuto di iperforina.|da_reperire|no
F016|2|linea_guida|Guarner F, Sanders ME, Szajewska H, Cohen H, Eliakim R, Herrera C, et al. World Gastroenterology Organisation Global Guidelines: Probiotics and prebiotics. World Gastroenterology Organisation; February 2023.|https://www.worldgastroenterology.org/UserFiles/file/guidelines/probiotics-and-prebiotics-english-2023.pdf|2023-02|2026-08-15|T6|-|PORTA GRADING PROPRIO (Oxford 2011 Levels of Evidence, Tabella 7): si riporta citandolo, non si rigradua. Prevenzione diarrea associata ad antibiotico, livello 1 di evidenza: L. rhamnosus GG 10e10 cfu due volte al giorno; S. boulardii CNCM I-745 5x10e9 cfu o 250 mg due volte al giorno. SICUREZZA (sez. 2.3): l'uso in persone con funzione immunitaria compromessa o patologia di base grave va limitato ai ceppi e alle indicazioni con sicurezza ed efficacia dimostrate in quelle popolazioni. Effetto CEPPO-SPECIFICO e DOSE-SPECIFICO: non e' possibile indicare una dose generale valida per i probiotici. I produttori affidabili dichiarano la dose attesa alla data di scadenza, non alla produzione; alcuni prodotti in commercio non rispettano quantita' e tipi di microrganismi vitali dichiarati in etichetta. RISULTATO NEGATIVO IMPORTANTE: il testo integrale NON contiene alcuna raccomandazione di distanziare il probiotico dall'antibiotico - la regola delle 2 ore non ha riscontro in questa linea guida. Testo integrale letto.|verificata|non_dichiarato
F017|1|RCP|Circadin 2 mg prolonged-release tablets. Summary of Product Characteristics. Flynn Pharma Ltd. Data di revisione del testo 01/01/2021.|https://www.medicines.org.uk/emc/product/2809/smpc|2021-01-01|2026-08-15|T6,T2|-|4.5 FARMACOCINETICA: metabolismo della melatonina mediato principalmente da enzimi CYP1A. Fluvoxamina aumenta i livelli di melatonina di 17 volte come AUC e 12 volte come Cmax inibendo CYP1A2 e CYP2C19 - LA COMBINAZIONE VA EVITATA. Chinoloni, in quanto inibitori del CYP1A2, possono aumentare l'esposizione. Carbamazepina e rifampicina, induttori del CYP1A2, possono ridurre le concentrazioni plasmatiche. Estrogeni (contraccettivi e terapia sostitutiva) aumentano i livelli inibendo CYP1A1 e CYP1A2. Cimetidina aumenta i livelli. Il fumo di sigaretta li riduce per induzione del CYP1A2. 4.5 FARMACODINAMICA: puo' potenziare le proprieta' sedative di benzodiazepine e ipnotici non benzodiazepinici (zaleplon, zolpidem, zopiclone); in un trial evidenza chiara di interazione transitoria con zolpidem un'ora dopo la co-somministrazione, con maggiore compromissione di attenzione, memoria e coordinazione rispetto a zolpidem da solo. L'alcol non va assunto perche' riduce l'efficacia sul sonno. ATTENZIONE ALL'USO: e' lo stampato UK di un MEDICINALE 2 mg a rilascio prolungato, non un RCP AIFA e non un integratore - la trasposizione all'integratore va dichiarata nel testo. Documento del 2021: oltre i 5 anni, scatta Q2. Testo integrale letto sul repository emc.|verificata|na
F018|2|linea_guida|Linee guida su probiotici e prebiotici. Indicazioni per alimenti e integratori contenenti microrganismi (batteri e/o lieviti) probiotici o sostanze prebiotiche. Ministero della Salute, Direzione generale per l'igiene e la sicurezza degli alimenti e la nutrizione. Revisione marzo 2018.|https://www.salute.gov.it/imgs/C_17_pubblicazioni_1016_allegato.pdf|2018-03|2026-08-15|T6,T0|-|NON REPERITA il 15/08/2026: salute.gov.it respinge web_fetch con pagina di validazione browser Gcore, sia in HTTPS sia in HTTP, anche sull'URL diretto del PDF. Ostacolo NON presente nella tabella di MB 2.3: da aggiungere. Unico documento italiano che definirebbe i requisiti per vantare la dicitura probiotico in etichetta e la quantita' minima di microrganismi vivi. Serve consegna manuale del PDF. Finche' resta da_reperire NON e' utilizzabile nel deliverable (ME B2).|da_reperire|na
F019|1|linea_guida|European Union herbal monograph on Valeriana officinalis L., radix. EMA/HMPC/150848/2015 Corr.1. Committee on Herbal Medicinal Products (HMPC), European Medicines Agency; 2 febbraio 2016.|https://www.ema.europa.eu/en/documents/herbal-monograph/final-european-union-herbal-monograph-valeriana-officinalis-l-radix_en.pdf|2016-02-02|2026-08-15|T6,T2|-|Testo integrale letto. Sez. 4.5 Interazioni: "None reported" in ENTRAMBE le colonne (uso ben consolidato e uso tradizionale): a livello regolatorio UE non esiste alcuna interazione documentata per la valeriana da sola. Sez. 4.7: puo compromettere la capacita di guidare e usare macchinari; i pazienti interessati non devono guidare ne usare macchinari. E questo, non una interazione dichiarata, il gancio regolatorio per la somma sedativa. Sez. 4.2: estratto secco 400-600 mg fino a 3 volte/die, uso ben consolidato; effetto graduale, NON adatto al trattamento acuto, continuare 2-4 settimane; se i sintomi persistono o peggiorano dopo 2 settimane consultare medico o farmacista; non raccomandata sotto i 12 anni. Sez. 4.9 sovradosaggio ~20 g: affaticamento, crampi addominali, oppressione toracica, stordimento, tremore alle mani, midriasi, risolti entro 24 ore. AVVERTENZA: la monografia della COMBINAZIONE FISSA valeriana+luppolo e documento distinto, NON letto in questa sessione; secondo snippet conterrebbe una raccomandazione sui sedativi di sintesi, ma per MB 6.1 non fa stato e non e utilizzabile finche non se ne legge il testo finale. Q2 scatta: documento del 2016, oltre i 5 anni.|verificata|na
F020|1|linea_guida|Community herbal monograph on Passiflora incarnata L., herba. EMA/HMPC/669740/2013. Committee on Herbal Medicinal Products (HMPC), European Medicines Agency; 25 marzo 2014.|https://www.ema.europa.eu/en/documents/herbal-monograph/final-community-herbal-monograph-passiflora-incarnata-l-herba_en.pdf|2014-03-25|2026-08-15|T6,T2|-|Testo integrale letto. Sez. 4.5 Interazioni: "None reported": nessuna interazione documentata a livello regolatorio UE. Sez. 4.7: puo compromettere la capacita di guidare e usare macchinari; i pazienti interessati non devono guidare ne usare macchinari. Sez. 4.8 effetti indesiderati: nessuno noto. Riconosciuto SOLO l'uso tradizionale: la colonna uso ben consolidato e vuota e le sezioni 5.1-5.3 sono esentate ex art. 16c(1)(a)(iii) della direttiva 2001/83/CE, quindi non esiste valutazione di efficacia clinica in monografia. Sez. 4.2: infuso 1-2 g in 150 ml, 1-4 volte/die; non raccomandata sotto i 12 anni; se i sintomi persistono oltre 2 settimane consultare il medico. Revisione sistematica del 25/03/2014 sulla monografia del 2007. Q2 scatta: documento del 2014, oltre i 5 anni.|verificata|na
F021|2|linea_guida|Raccomandazione per la Riconciliazione della terapia farmacologica. Raccomandazione n. 17. Ministero della Salute, Direzione generale della programmazione sanitaria, Ufficio III. Dicembre 2014.|buonepratiche.agenas.it/documents/recommendations/Racc.17_La _mancata _Riconciliazione.pdf|2014-12|2026-08-16|T1|-|DOCUMENTO CENTRALE DELL'ELABORATO. Testo integrale letto dalla premessa al glossario. Definisce Ricognizione (raccolta dati su paziente e medicinali, elenco a-p dei dati obbligatori, entro 24h dalla presa in carico, tracciabilita' con data/ora/firma) e Riconciliazione (confronto terapia in corso vs disposizioni, prima della prescrizione). Il farmacista supporta il medico in entrambe le fasi e collabora all'individuazione degli indicatori di monitoraggio. Glossario: definisce Transizione di cura, Setting assistenziale, Errore in terapia. Riporta il 67% di pazienti con discrepanze non intenzionali all'ammissione (dato di letteratura riferito, NON originale: per il numero risalire a Kwan 2013 / Mueller 2012 in bibliografia). Sezione 6 prevede revisione periodica su FSE, ricetta elettronica, Dossier farmaceutico, telemedicina: revisione MAI PUBBLICATA, verificato il 16-08-2026 sull'elenco ufficiale Agenas (vedi F031). NON e' linea guida SNLG ex art. 5 L. 24/2017: ricade fra le buone pratiche clinico-assistenziali. Reperita su mirror Agenas: salute.gov.it respinge web_fetch (validazione browser Gcore, stesso ostacolo di F018).|verificata|na
F022|1|normativa|Legge 8 marzo 2017, n. 24. Disposizioni in materia di sicurezza delle cure e della persona assistita, nonche' in materia di responsabilita' professionale degli esercenti le professioni sanitarie.|17G00041 - GU n. 64 del 17-03-2017|2017-03-08|2026-08-16|T1,T0|-|TESTO VIGENTE AL 16-08-2026, letto integralmente (consolidato Normattiva fornito dall'autore). La riconciliazione NON e' mai nominata nella legge: l'aggancio e' l'art. 1 c. 2 (sicurezza delle cure = insieme delle attivita' di prevenzione e gestione del rischio). NON scrivere che la legge impone la riconciliazione. Art. 1 c. 3: concorre alla prevenzione tutto il personale, compresi i liberi professionisti in convenzione con il SSN (ponte verso MMG e farmacie di comunita'). Art. 5: le linee guida pubblicate via SNLG si distinguono dalle buone pratiche clinico-assistenziali; art. 6 (art. 590-sexies c.p.) aggancia a tale distinzione l'esclusione di punibilita' per imperizia. Art. 3: Osservatorio nazionale buone pratiche presso Agenas, si avvale del SIMES. Art. 2 c. 4: Centri regionali per la gestione del rischio. Aggiornamenti recepiti: D.Lgs. 149/2022 su art. 8, sentenza Corte cost. 102/2021 su art. 15 c. 4.|verificata|na
F023|1|normativa|Decreto del Ministro della salute 23 maggio 2022, n. 77. Regolamento recante la definizione di modelli e standard per lo sviluppo dell'assistenza territoriale nel Servizio sanitario nazionale.|22G00085 - GU n. 144 del 22-06-2022|2022-05-23|2026-08-16|T1,T3,T0|-|Articolato e Allegati 1, 2 e 3 letti integralmente (testo fornito dall'autore). ART. 1 C. 1: Allegato 1 ha VALORE DESCRITTIVO, Allegato 2 VALORE PRESCRITTIVO - distinzione decisiva. Allegato 1 Tabella 1: il farmacista e' membro dell'equipe multiprofessionale come referente dell'uso sicuro ed efficace dei farmaci del programma terapeutico (interazioni, dosaggio, formulazione, farmacovigilanza, sostenibilita' economica). Allegato 2: nessun farmacista negli standard di personale di CdC hub, COT, OdC, UCA. TESI DELL'ELABORATO: c'e' il ruolo (descrittivo) senza la dotazione (prescrittivo). Allegato 1 par. 8: la COT coordina e traccia le transizioni fra setting e accede al FSE, ma la terapia non e' mai nominata. Allegato 1 par. 11: l'OdC ha un infermiere dedicato alle transizioni di cura; categoria c) di pazienti eleggibili = necessita assistenza nella somministrazione di farmaci prima del rientro a domicilio. Allegato 1 par. 16: obbligo per le strutture territoriali di liste di controllo coerenti con le raccomandazioni ministeriali (aggancio diretto della Racc. 17); elenco dei flussi FSE, Sistema TS con ricetta dematerializzata e Piani Terapeutici Elettronici, SDO, FAR, SIAD, EMUR, HOSPICE. Allegato 1 par. 2: le farmacie convenzionate sono presidi di prossimita', con richiamo al D.lgs. 153/2009. Alcune tabelle (2, 3, 4 e servizi CdC) sono in formato grafico e NON leggibili nel testo GU.|verificata|na
F024|2|linea_guida|Decreto del Ministro della salute 21 settembre 2022. Approvazione delle Linee guida per i servizi di telemedicina - Requisiti funzionali e livelli di servizio (Allegato A).|22A06184 - GU Serie generale n. 256 del 02-11-2022|2022-09-21|2026-08-16|T1,T3,T0|-|NON ANCORA APERTA. Adottate ex art. 12 c. 15-undecies del D.L. 179/2012. Non sono linee guida basate sull'evidenza ne' con grading: sono requisiti tecnici cogenti. Copia reperibile su mirror FADOI (www.fadoi.org/wp-content/uploads/2022/11/Linee-Guida-nazionali-per-la-Telemedicina_2022.pdf) ed estratto GU su sitelemed.it. Da aprire al PASSO 3 prima di qualsiasi uso.|da_verificare|na
F025|2|linea_guida|Decreto 20 maggio 2022. Adozione delle Linee guida per l'attuazione del Fascicolo sanitario elettronico. Con Decreto 18 maggio 2022 sull'integrazione dei dati essenziali del FSE.|GU 11-07-2022|2022-05-20|2026-08-16|T1,T3,T0|-|NON ANCORA APERTA. Nota informativa AgID consultata (www.agid.gov.it/it/agenzia/stampa-e-comunicazione/notizie/2022/07/19/fascicolo-sanitario-elettronico-20-pubblicate-linee-guida-lattuazione): definisce contenuti, servizi, architettura e governance del FSE 2.0. Fonte primaria per OF4: e' il documento che dice quali dati e documenti il FSE conserva. Da reperire in GU e aprire al PASSO 3. ATTENZIONE: la nota AgID e' un aggregatore istituzionale, non fa stato (MB 6.1).|da_verificare|na
F026|2|linea_guida|Linee di indirizzo. Riconciliazione della terapia farmacologica sul territorio durante le transizioni di cura: paziente anziano ricoverato in RSA/struttura sanitaria protetta e paziente oncologico ed oncoematologico dimesso da struttura ospedaliera e viceversa. Ministero della Salute, Regione del Veneto, Regione Emilia-Romagna. Settembre 2018.|salute.gov.it/imgs/C_17_pubblicazioni_2839_allegato.pdf|2018-09|2026-08-16|T1,T4|-|TESTO INTEGRALE LETTO il 16-08-2026 da mirror (quotidianosanita.it/allegati/allegato1717265.pdf), poiche' salute.gov.it respinge con validazione browser Gcore. Data documento SETTEMBRE 2018, pubblicato sul portale ministeriale il 03-04-2019. PAR. 5 dedicato al contributo del farmacista alla ricognizione: farmacista delle Aziende sanitarie E farmacista di comunita', con regole su trasmissione della scheda al prescrittore e conservazione per almeno un anno; rafforza il lato ruolo della tesi, quattro anni prima del DM 77. PAR. 6: definisce il Dossier farmaceutico come parte del FSE alimentata dalla farmacia che dispensa, ma al 2018 era prospettiva futura (una volta entrato a regime): vedi F029 per lo stato 2026. DATO ITALIANO ORIGINALE (non di letteratura riferita): questionario Regione Veneto su 266 RSA, solo il 71% effettua ricognizione e riconciliazione; discrepanze per posologia/durata 38%, omissione 25%, interazioni 11%, duplicazioni 10%, controindicazioni 7%, LASA 4%; 55% delle strutture senza monitoraggio ADR. GLOSSARIO: classificazione a tre vie della discrepanza (intenzionale documentata, intenzionale non documentata, non intenzionale) - base di OF2. ATTENZIONE: la premessa riporta fino al 70% di discrepanze all'ammissione, la Racc. 17 riporta 67%: entrambe letteratura riferita, risalire a Mueller 2012 per il numero. Segnala Mekonnen 2016 BMJ Open (meta-analisi su riconciliazione condotta dal farmacista) da recuperare al PASSO 4.|verificata|na
F027|2|linea_guida|Linee di indirizzo sugli strumenti per concorrere a ridurre gli errori in terapia farmacologica nell'ambito dei servizi assistenziali erogati dalle Farmacie di comunita'. Ministero della Salute. Maggio 2014.|salute.gov.it/portale/documentazione/p6_2_2_1.jsp?id=2189|2014-05|2026-08-16|T1,T3|-|NON ANCORA REPERITA. Segnalata dal par. 5 di F026, che ne riporta il contenuto rilevante: e' auspicato il coinvolgimento del farmacista di comunita' nei percorsi integrati con gli ambiti specialistici in cui si impiegano farmaci altamente innovativi. Documento ministeriale dedicato specificamente alle farmacie di comunita' e agli errori in terapia: potenzialmente centrale per il lato territoriale di OF3. Ostacolo atteso: salute.gov.it con validazione Gcore, servira' un mirror o consegna manuale.|da_reperire|na
F028|2|linea_guida|Raccomandazione per la prevenzione degli errori in terapia con farmaci antineoplastici. Raccomandazione n. 14. Ministero della Salute. Ottobre 2012.|agenas.gov.it/images/agenas/rischio_clinico/raccomandazioni/pdf/Racc.14_FarnaciAntineoplastici.pdf|2012-10|2026-08-16|T1|-|NON ANCORA APERTA. Citata da F026 come riferimento per l'ambito oncologico su informatizzazione dei dati e sicurezza nei passaggi fra setting assistenziali. Link diretto Agenas funzionante e verificato il 16-08-2026 (elenco raccomandazioni, vedi F031). Rilevanza secondaria rispetto alla Racc. 17: utile solo se l'elaborato tratta il setting oncologico. Data documento DA CONFERMARE all'apertura.|da_reperire|na
F029|1|normativa|Decreto del Ministero della salute 31 dicembre 2024, di concerto con MEF e Ministro per l'innovazione tecnologica. Ecosistema Dati Sanitari (EDS). Art. 5 - Dossier farmaceutico.|GU 2025 - estremi da confermare|2024-12-31|2026-08-16|T1,T3,T0|-|NON ANCORA APERTA - reperita solo tramite stampa di settore, che per MB 5.2 NON entra a registro e NON va citata. FONTE PRESCRITTIVA ATTUALE del Dossier farmaceutico, supera lo stato descritto da F026 nel 2018. Contenuto riferito, da verificare sul testo: il dossier farmaceutico e' parte specifica del FSE aggiornata a cura della farmacia che effettua la dispensazione; l'EDS estrae i dati su prescrizioni ed erogazioni farmaceutiche dai documenti del FSE, dal Sistema TS e da ANA; nessun accesso ai documenti oscurati dall'assistito. FONTE PRIMARIA PER OF4. Da reperire in Gazzetta Ufficiale e aprire prima di qualsiasi uso: gli estremi GU sono ancora incerti.|da_verificare|na
F030|2|dato_istituzionale|FAQ sul Fascicolo sanitario elettronico. Garante per la protezione dei dati personali. Aggiornamento maggio 2026.|garanteprivacy.it - URL da reperire|2026-05|2026-08-16|T3,T1|-|NON ANCORA APERTA - nota tramite stampa di settore, che non entra a registro. Elemento rilevante da verificare sul testo: l'avvio dei servizi avanzati dell'EDS sarebbe subordinato al completamento dell'implementazione del FSE 2.0, ancora in corso a maggio 2026. Se confermato sul documento del Garante, e' il dato che documenta lo scarto fra flusso previsto e flusso disponibile - snodo di OF4. Non usare finche' non aperta.|da_verificare|na
